"date","owid_new_deaths"
2020-03-07,1
2020-03-09,2
2020-03-11,1
2020-03-12,1
2020-03-15,7
2020-03-16,8
2020-03-17,4
2020-03-18,19
2020-03-19,15
2020-03-20,18
2020-03-21,30
2020-03-22,30
2020-03-23,43
2020-03-24,34
2020-03-25,63
2020-04-28,43
2020-04-29,48
2020-05-05,26
2020-05-07,36
2020-05-10,63
2020-05-11,18
2020-05-12,16
2020-05-13,54
2020-05-14,52
2020-05-15,28
2020-05-16,53
2020-05-17,27
2020-05-18,10
2020-05-19,14
2020-05-20,21
2020-05-21,33
2020-05-22,27
2020-05-23,13
2020-05-24,23
2020-05-25,11
2020-05-26,8
2020-05-27,26
2020-05-28,15
2020-05-29,32
2020-05-30,28
2020-05-31,20
2020-06-01,5
2020-06-02,6
2020-06-03,5
2020-06-04,10
2020-06-05,13
2020-06-06,15
2020-06-07,6
2020-06-08,2
2020-06-09,3
2020-06-10,15
2020-06-11,11
2020-06-12,2
2020-06-13,9
2020-06-14,4
2020-06-15,2
2020-06-16,6
2020-06-17,5
2020-06-18,4
2020-06-19,4
2020-06-20,3
2020-06-21,8
2020-06-22,1
2020-06-24,5
2020-06-25,2
2020-06-26,3
2020-06-27,3
2020-06-28,2
2020-06-30,2
2020-07-01,6
2020-07-02,2
2020-07-03,3
2020-07-04,2
2020-07-05,6
2020-07-06,1
2020-07-07,1
2020-07-08,4
2020-07-09,3
2020-07-16,1
2020-07-23,3
2020-07-26,1
2020-08-05,1
2020-08-06,4
2020-08-09,3
2020-08-12,2
2020-08-13,2
2020-08-14,4
2020-08-15,2
2020-08-16,2
2020-08-17,3
2020-08-19,3
2020-08-20,6
2020-08-21,10
2020-08-22,4
2020-08-23,5
2020-08-25,2
2020-08-26,5
2020-08-27,8
2020-08-28,3
2020-08-29,2
2020-08-30,4
2020-09-02,6
2020-09-03,5
2020-09-05,2
2020-09-06,4
2020-09-07,2
2020-09-09,1
2020-09-10,2
2020-09-11,3
2020-09-12,3
2020-09-13,1
2020-09-14,1
2020-09-15,2
2020-09-16,2
2020-09-17,2
2020-09-18,6
2020-09-19,7
2020-09-20,2
2020-09-21,4
2020-09-22,2
2020-09-23,10
2020-09-24,5
2020-09-25,16
2020-09-26,16
